Year,Province,Electoral.District.Name.Nom.de.circonscription,Candidate.Candidat,Candidate.Occupation.Profession.du.candidat,Votes.Obtained.Votes.obtenus,Percentage.of.Votes.Obtained..Pourcentage.des.votes.obtenus, ,
1867,Quebec,ARGENTEUIL,B. HUTCHINS Unknown,,595,46.2,,
1867,Quebec,BAGOT,Pierre-Samuel GENDRON Conservative,notary,1156,56.53,,
1867,Quebec,BAGOT,Hon. Maurice LAFRAMBOISE Unknown,,889,43.47,,
1867,Quebec,BEAUCE,Christian Henry POZER Liberal,lawyer,1180,65.23,,
1867,Quebec,BEAUCE, TASCHEREAU Unknown,,629,34.77,,
1867,Quebec,BEAUHARNOIS,Michael CAYLEY Conservative,lawyer,724,51.17,,
1867,Quebec,BEAUHARNOIS, DENIS Unknown,,691,48.83,,
1867,Quebec,BELLECHASSE,Napoléon CASAULT Conservative,lawyer,983,59.43,,
1867,Quebec,BELLECHASSE, REMILLARD Unknown,,671,40.57,,
1867,Quebec,BERTHIER,Anselme Homère PAQUET Liberal,physician,1131,50.81,,
1867,Quebec,BERTHIER, TRACHEMONTAGNE Unknown,,1095,49.19,,
1867,Quebec,BONAVENTURE,Théodore ROBITAILLE Conservative,physician,1018,69.63,,
1867,Quebec,BONAVENTURE, TREMBLAY Unknown,,444,30.37,,
1867,Quebec,BROME,Hon. Christopher DUNKIN Conservative,lawyer,accl.,NA,,
1867,Quebec,CHAMBLY,Bazile BENOIT Conservative,farmer,691,56.78,,
1867,Quebec,CHAMBLY,V.P.W. DORION Unknown,,526,43.22,,
1867,Quebec,CHAMPLAIN,John Jones ROSS Conservative,physician,1449,82.61,,
1867,Quebec,CHAMPLAIN, MARTINEAU Unknown,,305,17.39,,
1867,Quebec,CHARLEVOIX,Simon-Xavier CIMON Conservative,contractor,999,52.3,,
1867,Quebec,CHARLEVOIX, GAGNON Unknown,,911,47.7,,
1867,Quebec,CHÂTEAUGUAY,Hon. Luther Hamilton HOLTON Liberal,merchant,1013,63.35,,
1867,Quebec,CHÂTEAUGUAY, RAMSAY Unknown,,586,36.65,,
1867,Quebec,CHICOUTIMI--SAGUENAY,Pierre Alexis TREMBLAY Liberal,editor,accl.,NA,,
1867,Quebec,COMPTON,John Henry POPE Liberal-Conservative,investor and promoter,accl.,NA,,
1867,Quebec,DORCHESTER,Hon. Hector Louis LANGEVIN Conservative,lawyer,accl.,NA,,
1867,Quebec,DRUMMOND--ARTHABASKA,Louis-Adélard SÉNÉCAL Conservative,financier,1135,50.53,,
1867,Quebec,DRUMMOND--ARTHABASKA, HOULE Unknown,,1111,49.47,,
1867,Quebec,GASPÉ,Peter FORTIN Conservative,physician,accl.,NA,,
1867,Quebec,HOCHELAGA,Hon. Antoine Aimé DORION Liberal,lawyer,1312,50.44,,
1867,Quebec,HOCHELAGA, LANOUETTE Unknown,,1289,49.56,,
1867,Quebec,HUNTINGDON,Hon. John ROSE Liberal-Conservative,lawyer,1280,73.23,,
1867,Quebec,HUNTINGDON,W.H. KERR Unknown,,468,26.77,,
1867,Quebec,IBERVILLE,François BÉCHARD Liberal,farmer,1035,67.25,,
1867,Quebec,IBERVILLE,A. DUFRESNE Unknown,,504,32.75,,
1867,Quebec,JACQUES CARTIER,Guillaume Gamelin GAUCHER Conservative,merchant,659,54.87,,
1867,Quebec,JACQUES CARTIER, BRUNET Unknown,,542,45.13,,
1867,Quebec,JOLIETTE,François Benjamin GODIN Liberal,lawyer,918,51.57,,
1867,Quebec,JOLIETTE, BABY Conservative,lawyer,862,48.43,,
1867,Quebec,LAPRAIRIE,Alfred PINSONNEAULT Conservative,farmer,750,71.91,,
1867,Quebec,LAPRAIRIE, NORMANDEAU Unknown,,293,28.09,,
1867,Quebec,L'ASSOMPTION,Hon. Louis ARCHAMBAULT Liberal-Conservative,notary,898,57.45,,
1867,Quebec,L'ASSOMPTION,Hon. P.U. ARCHAMBAULT Unknown,merchant,665,42.55,,
1867,Quebec,LAVAL,Joseph-Hyacinthe BELLEROSE Conservative,businessman,accl.,NA,,
1867,Quebec,LÉVIS,Joseph-Godérich BLANCHET Liberal-Conservative,physician,accl.,NA,,
1867,Quebec,L'ISLET,Barthélemy POULIOT Conservative,merchant,464,92.06,,
1867,Quebec,L'ISLET, CARON Unknown,,40,7.94,,
1867,Quebec,LOTBINIÈRE,Henry Gustave JOLY Liberal,lawyer,accl.,NA,,
1867,Quebec,MASKINONGÉ,George CARON Conservative,merchant,702,55.45,,
1867,Quebec,MASKINONGÉ,M. HOUDE Unknown,,564,44.55,,
1867,Quebec,MÉGANTIC,Hon. George IRVINE Conservative,lawyer,1000,57.7,,
1867,Quebec,MÉGANTIC,P.O. TRIGANNE Unknown,,733,42.3,,
1867,Quebec,MISSISQUOI,Brown CHAMBERLIN Conservative,lawyer,1190,70.54,,
1867,Quebec,MISSISQUOI, MOORE Unknown,registrar,497,29.46,,
1867,Quebec,MONTCALM,Joseph DUFRESNE Conservative,notary,accl.,NA,,
1867,Quebec,MONTMAGNY,Hon. Joseph-Octave BEAUBIEN Conservative,physician,accl.,NA,,
1867,Quebec,MONTMORENCY,Hon. Joseph CAUCHON Conservative,lawyer,accl.,NA,,
1867,Quebec,MONTREAL CENTRE,Thomas WORKMAN Liberal,merchant,accl.,NA,,
1867,Quebec,MONTREAL EAST,Hon. George Étienne CARTIER Liberal-Conservative,lawyer,2431,53.83,,
1867,Quebec,MONTREAL EAST,M. LANCTOT Liberal,journalist,2085,46.17,,
1867,Quebec,MONTREAL WEST,Hon. Thomas D'Arcy MCGEE Liberal-Conservative,journalist,2675,51.91,,
1867,Quebec,MONTREAL WEST,Bernard DEVLIN Liberal,journalist,2478,48.09,,
1867,Quebec,NAPIERVILLE,"Sixte COUPAL, dit LA REINE Liberal",farmer,878,71.85,,
1867,Quebec,NAPIERVILLE, LAVIOLETTE Unknown,,344,28.15,,
1867,Quebec,NICOLET,Joseph GAUDET Conservative,farmer,1070,68.2,,
1867,Quebec,NICOLET, ROUSSEAU Unknown,,499,31.8,,
1867,Quebec,OTTAWA (COUNTY OF),Alonzo WRIGHT Liberal-Conservative,farmer,accl.,NA,,
1867,Quebec,PONTIAC,Edmund HEATH Conservative,crown lands agent,accl.,NA,,
1867,Quebec,PORTNEUF,Jean-Docile BROUSSEAU Conservative,printer,1027,58.82,,
