Year,Province,Electoral.District.Name.Nom.de.circonscription,Candidate.Candidat,Candidate.Occupation.Profession.du.candidat,Votes.Obtained.Votes.obtenus,Percentage.of.Votes.Obtained..Pourcentage.des.votes.obtenus, ,
1987,Newfoundland and Labrador,AVALON,Bill Morrow Liberal,lawyer,14318,38.58,,
1987,Newfoundland and Labrador,AVALON,Eugene Conway New Democratic Party,business owner,3365,9.07,,
1987,Newfoundland and Labrador,AVALON,Shannon Hillier Green Party of Canada,provincial organizer,297,0.8,,
1987,Newfoundland and Labrador,BONAVISTA--GANDER--GRAND FALLS--WINDSOR,Scott Simms Liberal,parliamentarian,19866,52.04,,
1987,Newfoundland and Labrador,BONAVISTA--GANDER--GRAND FALLS--WINDSOR,Aaron Hynes Conservative Party of Canada,legislative assistant,15376,40.28,,
1987,Newfoundland and Labrador,BONAVISTA--GANDER--GRAND FALLS--WINDSOR,Sandra Cooze New Democratic Party,teacher,2668,6.99,,
1987,Newfoundland and Labrador,BONAVISTA--GANDER--GRAND FALLS--WINDSOR,Judy Davis Green Party of Canada,employment counsellor,265,0.69,,
1987,Newfoundland and Labrador,HUMBER--ST. BARBE--BAIE VERTE,Gerry Byrne Liberal,parliamentarian,17208,52.9,,
1987,Newfoundland and Labrador,HUMBER--ST. BARBE--BAIE VERTE,Cyril Jr. Pelley Conservative Party of Canada,businessman,10137,31.16,,
1987,Newfoundland and Labrador,HUMBER--ST. BARBE--BAIE VERTE,Holly Pike New Democratic Party,university professor,4847,14.9,,
1987,Newfoundland and Labrador,HUMBER--ST. BARBE--BAIE VERTE,Martin Hanzalek Green Party of Canada,adventure tourism,339,1.04,,
1987,Newfoundland and Labrador,LABRADOR,Todd Norman Russell Liberal,parliamentarian,5768,50.53,,
1987,Newfoundland and Labrador,LABRADOR,Joe Goudie Conservative Party of Canada,canoe builder,4528,39.67,,
1987,Newfoundland and Labrador,LABRADOR,Jacob Edward Larkin New Democratic Party,educator,1037,9.08,,
1987,Newfoundland and Labrador,LABRADOR,Gail Zwicker Green Party of Canada,administrative assistant,82,0.72,,
1987,Newfoundland and Labrador,RANDOM--BURIN--ST. GEORGE'S,Bill Matthews Liberal,Parliamentarian,13652,45.49,,
1987,Newfoundland and Labrador,RANDOM--BURIN--ST. GEORGE'S,Cynthia Downey Conservative Party of Canada,retired educator,12232,40.76,,
1987,Newfoundland and Labrador,RANDOM--BURIN--ST. GEORGE'S,Amanda Will New Democratic Party,communications director,3702,12.34,,
1987,Newfoundland and Labrador,RANDOM--BURIN--ST. GEORGE'S,Mark Brennan Green Party of Canada,hospital clerk,426,1.42,,
1987,Newfoundland and Labrador,ST. JOHN’S EAST,Norman Doyle Conservative Party of Canada,politician,19110,46.56,,
1987,Newfoundland and Labrador,ST. JOHN’S EAST,Paul Antle Liberal,businessman,14345,34.95,,
1987,Newfoundland and Labrador,ST. JOHN’S EAST,Mike Kehoe New Democratic Party,customer care agent,7190,17.52,,
1987,Newfoundland and Labrador,ST. JOHN’S EAST,Stephen Eli Harris Green Party of Canada,actor/HMV clerk,402,0.98,,
1987,Newfoundland and Labrador,ST. JOHN’S SOUTH--MOUNT PEARL,Loyola Hearn Conservative Party of Canada,parliamentarian,16644,44.69,,
1987,Newfoundland and Labrador,ST. JOHN’S SOUTH--MOUNT PEARL,Siobhan Coady Liberal,business person,12295,33.01,,
1987,Newfoundland and Labrador,ST. JOHN’S SOUTH--MOUNT PEARL,Peg Norman New Democratic Party,business owner,8073,21.67,,
1987,Newfoundland and Labrador,ST. JOHN’S SOUTH--MOUNT PEARL,Barry Crozier Green Party of Canada,small business owner,235,0.63,,
1987,Northwest Territories,WESTERN ARCTIC,Dennis Bevington New Democratic Party,business person,6802,42.16,,
1987,Northwest Territories,WESTERN ARCTIC,Ethel Blondin-Andrew Liberal,parliamentarian,5643,34.98,,
1987,Northwest Territories,WESTERN ARCTIC,Richard Edjericon Conservative Party of Canada,self-employed,3200,19.84,,
1987,Northwest Territories,WESTERN ARCTIC,Alexandre Beaudin Green Party of Canada,photographer,338,2.1,,
1987,Northwest Territories,WESTERN ARCTIC,Jan H. van der Veen Independent,economist,149,0.92,,
1987,Nova Scotia,CAPE BRETON--CANSO,Rodger Cuzner Liberal,parliamentarian,21424,53.19,,
1987,Nova Scotia,CAPE BRETON--CANSO,Kenzie MacNeil Conservative Party of Canada,producer/director/writer,9740,24.18,,
1987,Nova Scotia,CAPE BRETON--CANSO,Hector Morrison New Democratic Party,retired miner,8111,20.14,,
1987,Nova Scotia,CAPE BRETON--CANSO,Rob Hines Green Party of Canada,Gardener,1006,2.5,,
1987,Nova Scotia,CENTRAL NOVA,Peter G. MacKay Conservative Party of Canada,barrister,17134,40.66,,
1987,Nova Scotia,CENTRAL NOVA,Alexis MacDonald New Democratic Party,program director,13861,32.89,,
1987,Nova Scotia,CENTRAL NOVA,Dan Walsh Liberal,police officer,10349,24.56,,
1987,Nova Scotia,CENTRAL NOVA,David Orton Green Party of Canada,retired,671,1.59,,
1987,Nova Scotia,CENTRAL NOVA,Allan H. Bezanson Marxist-Leninist Party,typesetter,124,0.29,,
1987,Nova Scotia,CUMBERLAND--COLCHESTER--MUSQUODOBOIT VALLEY,Bill Casey Conservative Party of Canada,businessman,22439,52.04,,
1987,Nova Scotia,CUMBERLAND--COLCHESTER--MUSQUODOBOIT VALLEY,Gary Richard Liberal,lawyer,10299,23.89,,
1987,Nova Scotia,CUMBERLAND--COLCHESTER--MUSQUODOBOIT VALLEY,Margaret Sagar New Democratic Party,"minister, United Church of Canada",8944,20.74,,
1987,Nova Scotia,CUMBERLAND--COLCHESTER--MUSQUODOBOIT VALLEY,N. Bruce Farrell Green Party of Canada,student,910,2.11,,
1987,Nova Scotia,CUMBERLAND--COLCHESTER--MUSQUODOBOIT VALLEY,Rick Simpson Independent,retired power engineer,524,1.22,,
1987,Nova Scotia,DARTMOUTH--COLE HARBOUR,Michael Savage Liberal,parliamentarian,19027,42.32,,
1987,Nova Scotia,DARTMOUTH--COLE HARBOUR,Peter Mancini New Democratic Party,lawyer,14612,32.5,,
1987,Nova Scotia,DARTMOUTH--COLE HARBOUR,Robert A. Campbell Conservative Party of Canada,retired RCMP officer,10259,22.82,,
1987,Nova Scotia,DARTMOUTH--COLE HARBOUR,Elizabeth Perry Green Party of Canada,adult educator,1005,2.24,,
1987,Nova Scotia,DARTMOUTH--COLE HARBOUR,Charles Spurr Marxist-Leninist Party,personal care worker,56,0.12,,
1987,Nova Scotia,HALIFAX,Alexa McDonough New Democratic Party,parliamentarian,23420,46.88,,
1987,Nova Scotia,HALIFAX,Martin MacKinnon Liberal,"vice-president, finance",15437,30.9,,
1987,Nova Scotia,HALIFAX,Andrew House Conservative Party of Canada,lawyer,8993,18,,
1987,Nova Scotia,HALIFAX,Nick Wright Green Party of Canada,student,1948,3.9,,
1987,Nova Scotia,HALIFAX,Tony Seed Marxist-Leninist Party,publisher,164,0.33,,
1987,Nova Scotia,HALIFAX WEST,Geoff Regan Liberal,lawyer,21818,49.36,,
1987,Nova Scotia,HALIFAX WEST,Alan Hill New Democratic Party,student,10798,24.43,,
1987,Nova Scotia,HALIFAX WEST,Rakesh Khosla Conservative Party of Canada,businessman,10184,23.04,,
1987,Nova Scotia,HALIFAX WEST,Thomas Trappenberg Green Party of Canada,university professor,1406,3.18,,
1987,Nova Scotia,KINGS--HANTS,Scott Brison Liberal,parliamentarian,19491,45.56,,
1987,Nova Scotia,KINGS--HANTS,Bob Mullan Conservative Party of Canada,medical doctor,13772,32.19,,
1987,Nova Scotia,KINGS--HANTS,Mary DeWolfe New Democratic Party,small business owner/operator,8138,19.02,,
1987,Nova Scotia,KINGS--HANTS,Sheila Richardson Green Party of Canada,mediator/educator,947,2.21,,
1987,Nova Scotia,KINGS--HANTS,Chummy Anthony Marijuana Party,businessman,436,1.02,,
1987,Nova Scotia,SACKVILLE--EASTERN SHORE,Peter Stoffer New Democratic Party,parliamentarian,22848,52.95,,
1987,Nova Scotia,SACKVILLE--EASTERN SHORE,Bill Fleming Liberal,business executive,9921,22.99,,
1987,Nova Scotia,SACKVILLE--EASTERN SHORE,Paul Francis Conservative Party of Canada,minister,9450,21.9,,
1987,Nova Scotia,SACKVILLE--EASTERN SHORE,Richard MacDonald Green Party of Canada,sales executive,933,2.16,,
1987,Nova Scotia,SOUTH SHORE--ST. MARGARET'S,Gerald Gordon Keddy Conservative Party of Canada,tree Farmer/parliamentarian,15108,36.85,,
1987,Nova Scotia,SOUTH SHORE--ST. MARGARET'S,Gordon S. Earle New Democratic Party,retired public servant,11689,28.51,,
1987,Nova Scotia,SOUTH SHORE--ST. MARGARET'S,Darian Malcom Huskilson Liberal,courier/mechanic assistant,11629,28.36,,
1987,Nova Scotia,SOUTH SHORE--ST. MARGARET'S,Jim Hnatiuk Christian Heritage Party of Canada,combat systems electronics technician,1376,3.36,,
1987,Nova Scotia,SOUTH SHORE--ST. MARGARET'S,Katie Morris Boudreau Green Party of Canada,community support worker,1198,2.92,,
1987,Nova Scotia,SYDNEY--VICTORIA,Mark Eyking Liberal,parliamentarian,20277,49.88,,
1987,Nova Scotia,SYDNEY--VICTORIA,John Hugh Edwards New Democratic Party,university educator,11587,28.5,,
1987,Nova Scotia,SYDNEY--VICTORIA,Howie MacDonald Conservative Party of Canada,entertainer,7455,18.34,,
1987,Nova Scotia,SYDNEY--VICTORIA,Chris Milburn Green Party of Canada,medical doctor,1336,3.29,,
1987,Nova Scotia,WEST NOVA,Robert Thibault Liberal,parliamentarian,17734,39.24,,
1987,Nova Scotia,WEST NOVA,Greg Kerr Conservative Party of Canada,retired teacher/farmer,17222,38.11,,
1987,Nova Scotia,WEST NOVA,Arthur Bull New Democratic Party,writer,8512,18.84,,
1987,Nova Scotia,WEST NOVA,Matthew Granger Green Party of Canada,provincial park caretaker,1040,2.3,,
1987,Nova Scotia,WEST NOVA,Ken Griffiths Independent,molecular Biologist,682,1.51,,
1987,Nunavut,NUNAVUT,Nancy Karetak-Lindell Liberal,parliamentarian,3673,39.98,,
1987,Nunavut,NUNAVUT,David Aglukark Sr. Conservative Party of Canada,self-employed,2670,29.06,,
1987,Nunavut,NUNAVUT,Bill Riddell New Democratic Party,consultant,1576,17.15,,
1987,Nunavut,NUNAVUT,D. Ed deVries Marijuana Party,traditional Healer,724,7.88,,
1987,Nunavut,NUNAVUT,Feliks Kappi Green Party of Canada,student,544,5.92,,
1987,Ontario,AJAX--PICKERING,Mark Holland Liberal,parliamentarian,25636,49.38,,
1987,Ontario,AJAX--PICKERING,Rondo Thomas Conservative Party of Canada,educator,16992,32.73,,
1987,Ontario,AJAX--PICKERING,Kevin Modeste New Democratic Party,constituency assistant,6655,12.82,,
1987,Ontario,AJAX--PICKERING,Russell Korus Green Party of Canada,IT Consultant,2199,4.24,,
1987,Ontario,AJAX--PICKERING,Kevin Norng Christian Heritage Party of Canada,contractor,435,0.84,,
1987,Ontario,ALGOMA--MANITOULIN--KAPUSKASING,Brent St. Denis Liberal,parliamentarian,14652,38.18,,
1987,Ontario,ALGOMA--MANITOULIN--KAPUSKASING,Carol Hughes New Democratic Party,Canadian Labour Congress representative,13244,34.51,,
1987,Ontario,ALGOMA--MANITOULIN--KAPUSKASING,Ian West Conservative Party of Canada,student,8957,23.34,,
1987,Ontario,ALGOMA--MANITOULIN--KAPUSKASING,Sarah Hutchinson Green Party of Canada,resort operator,1025,2.67,,
1987,Ontario,ALGOMA--MANITOULIN--KAPUSKASING,Will Morin First Peoples National Party of Canada,teacher,338,0.88,,
1987,Ontario,ALGOMA--MANITOULIN--KAPUSKASING,Donald Milton Polmateer Independent,heavy duty equipment mechanic,164,0.43,,
1987,Ontario,ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,David Sweet Conservative Party of Canada,professional trainer,24530,39.1,,
1987,Ontario,ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,Russ Powers Liberal,laboratory technologist,21656,34.51,,
1987,Ontario,ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,Gordon Guyatt New Democratic Party,physician,13376,21.32,,
1987,Ontario,ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,David Januczkowski Green Party of Canada,accountant,2767,4.41,,
1987,Ontario,ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,Ben Cowie Independent,student,303,0.48,,
1987,Ontario,ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,Jamilé Ghaddar Marxist-Leninist Party,student,112,0.18,,
1987,Ontario,BARRIE,Patrick Brown Conservative Party of Canada,lawyer,23999,41.88,,
1987,Ontario,BARRIE,Aileen Carroll Liberal,parliamentarian,22456,39.18,,
1987,Ontario,BARRIE,Peter Bursztyn New Democratic Party,chemist/professor,6978,12.18,,
1987,Ontario,BARRIE,Erich Jacoby-Hawkins Green Party of Canada,teacher,3875,6.76,,
1987,Ontario,BEACHES--EAST YORK,Maria Minna Liberal,parliamentarian,20678,40.39,,
1987,Ontario,BEACHES--EAST YORK,Marilyn Churley New Democratic Party,parliamentarian,17900,34.96,,
1987,Ontario,BEACHES--EAST YORK,Peter Conroy Conservative Party of Canada,financial (industry) consultant,9238,18.04,,
1987,Ontario,BEACHES--EAST YORK,Jim Harris Green Party of Canada,management consultant,3106,6.07,,
1987,Ontario,BEACHES--EAST YORK,Jim Love Progressive Canadian Party,"consultant, management",183,0.36,,
1987,Ontario,BEACHES--EAST YORK,Roger Carter Marxist-Leninist Party,postal worker,91,0.18,,
1987,Ontario,BRAMALEA--GORE--MALTON,Gurbax S. Malhi Liberal,parliamentarian,25348,50.68,,
1987,Ontario,BRAMALEA--GORE--MALTON,John Sprovieri Conservative Party of Canada,regional councillor,16367,32.73,,
1987,Ontario,BRAMALEA--GORE--MALTON,Cesar Martello New Democratic Party,student,6343,12.68,,
1987,Ontario,BRAMALEA--GORE--MALTON,Ernst Braendli Green Party of Canada,scientist,1721,3.44,,
1987,Ontario,BRAMALEA--GORE--MALTON,Frank Chilelli Marxist-Leninist Party,teacher,233,0.47,,
1987,Ontario,BRAMPTON WEST,Colleen Beaumier Liberal,parliamentarian,27988,49.12,,
1987,Ontario,BRAMPTON WEST,Bal Gosal Conservative Party of Canada,financial advisor,20345,35.7,,
1987,Ontario,BRAMPTON WEST,Jagtar Singh Shergill New Democratic Party,registered insurance broke,6310,11.07,,
1987,Ontario,BRAMPTON WEST,Jaipaul Massey-Singh Green Party of Canada,freelance writer,2340,4.11,,
1987,Ontario,BRAMPTON--SPRINGDALE,Ruby Dhalla Liberal,chiropractor,22294,47.34,,
1987,Ontario,BRAMPTON--SPRINGDALE,Sam Hundal Conservative Party of Canada,real estate agent,14492,30.77,,
1988,Ontario,BRAMPTON--SPRINGDALE,Anna Mather New Democratic Party,student,8345,17.72,,
1988,Ontario,BRAMPTON--SPRINGDALE,Ian Raymond Chiocchio Green Party of Canada,unemployed,1853,3.93,,
1988,Ontario,BRAMPTON--SPRINGDALE,Upali Jinadasa Wannaku Rallage Communist Party of Canada,shipping clerk,110,0.23,,
1988,Ontario,BRANT,Lloyd St. Amand Liberal,parliamentarian,22077,36.95,,
1988,Ontario,BRANT,Phil McColeman Conservative Party of Canada,construction project manager,21495,35.97,,
1988,Ontario,BRANT,Lynn Bowering New Democratic Party,professional planner,12713,21.28,,
1988,Ontario,BRANT,Adam King Green Party of Canada,student,2729,4.57,,
1988,Ontario,BRANT,John H. Wubs Christian Heritage Party of Canada,building maintenance technician,526,0.88,,
1988,Ontario,BRANT,John C. Turmel Independent,engineer,213,0.36,,
1988,Ontario,BRUCE--GREY--OWEN SOUND,Larry Miller Conservative Party of Canada,farmer/Member of Parliament,25133,48.18,,
1988,Ontario,BRUCE--GREY--OWEN SOUND,Verona Jackson Liberal,retired teacher,14378,27.56,,
1988,Ontario,BRUCE--GREY--OWEN SOUND,Shane Jolley Green Party of Canada,proprietor,6735,12.91,,
1988,Ontario,BRUCE--GREY--OWEN SOUND,Jill McIllwraith New Democratic Party,registered practical nurse,5918,11.34,,
1988,Ontario,BURLINGTON,Mike Wallace Conservative Party of Canada,municipal councillor,28030,43.11,,
1988,Ontario,BURLINGTON,Paddy Torsney Liberal,parliamentarian,25431,39.11,,
1988,Ontario,BURLINGTON,David Laird New Democratic Party,child protection worker,8090,12.44,,
1988,Ontario,BURLINGTON,Rick Goldring Green Party of Canada,financial advisor,3471,5.34,,
1988,Ontario,CAMBRIDGE,Gary Goodyear Conservative Party of Canada,parliamentarian,25337,43.85,,
1988,Ontario,CAMBRIDGE,Janko Peric Liberal,welder,19419,33.61,,
1988,Ontario,CAMBRIDGE,Donna Reid New Democratic Party,retired teacher,9794,16.95,,
1988,Ontario,CAMBRIDGE,Gareth White Green Party of Canada,professional engineer,3017,5.22,,
1988,Ontario,CAMBRIDGE,David M. Pelly Canadian Action Party,truck driver,217,0.38,,
1988,Ontario,CARLETON--MISSISSIPPI MILLS,Gordon O'Connor Conservative Party of Canada,parliamentarian,39004,56.19,,
1988,Ontario,CARLETON--MISSISSIPPI MILLS,Isabel Metcalfe Liberal,businesswoman,16360,23.57,,
1988,Ontario,CARLETON--MISSISSIPPI MILLS,Tasha Bridgen New Democratic Party,stay-at-home mother,8677,12.5,,
1988,Ontario,CARLETON--MISSISSIPPI MILLS,Jake Cole Green Party of Canada,professional engineer,4544,6.55,,
1988,Ontario,CARLETON--MISSISSIPPI MILLS,George Kolaczynski Marijuana Party,letter carrier,426,0.61,,
1988,Ontario,CARLETON--MISSISSIPPI MILLS,Tracy Parsons Progressive Canadian Party,sales,408,0.59,,
1988,Ontario,CHATHAM-KENT--ESSEX,Dave Van Kesteren Conservative Party of Canada,car dealership,20820,42.81,,
1988,Ontario,CHATHAM-KENT--ESSEX,Jim Comiskey Liberal,retired teacher,15204,31.26,,
1988,Ontario,CHATHAM-KENT--ESSEX,Kathleen Kevany New Democratic Party,university director,10875,22.36,,
1988,Ontario,CHATHAM-KENT--ESSEX,Ken Bell Green Party of Canada,builder,1737,3.57,,
1988,Ontario,DAVENPORT,Mario Silva Liberal,parliamentarian,20172,51.87,,
1988,Ontario,DAVENPORT,Gord Perks New Democratic Party,community worker,12681,32.61,,
1988,Ontario,DAVENPORT,Theresa Rodrigues Conservative Party of Canada,administrator,4202,10.8,,
1988,Ontario,DAVENPORT,Mark O'Brien Green Party of Canada,teacher,1440,3.7,,
1988,Ontario,DAVENPORT,Miguel Figueroa Communist Party of Canada,journalist,172,0.44,,
1988,Ontario,DAVENPORT,Wendy Forrest Canadian Action Party,real estate broker,122,0.31,,
1988,Ontario,DAVENPORT,Sarah Thompson Marxist-Leninist Party,adult educator,103,0.26,,
1988,Ontario,DON VALLEY EAST,Yasmin Ratansi Liberal,parliamentarian,23441,54,,
1988,Ontario,DON VALLEY EAST,Eugene McDermott Conservative Party of Canada,lawyer,12661,29.16,,
1988,Ontario,DON VALLEY EAST,Richard Alan Hennick New Democratic Party,sales technician,5597,12.89,,
1988,Ontario,DON VALLEY EAST,Wayne Clements Green Party of Canada,computer specialist,1714,3.95,,
1988,Ontario,DON VALLEY WEST,John Godfrey Liberal,parliamentarian,28709,53.36,,
1988,Ontario,DON VALLEY WEST,John Carmichael Conservative Party of Canada,business executive,17908,33.29,,
1988,Ontario,DON VALLEY WEST,David Thomas New Democratic Party,business,4902,9.11,,
1988,Ontario,DON VALLEY WEST,Daphne So Green Party of Canada,student,1906,3.54,,
1988,Ontario,DON VALLEY WEST,Soumen Deb Libertarian Party of Canada,transportation Broker,226,0.42,,
1988,Ontario,DON VALLEY WEST,Paul Barnes Canadian Action Party,electrical supervisor,151,0.28,,
1988,Ontario,DUFFERIN--CALEDON,David Tilson Conservative Party of Canada,parliamentarian,23641,47.94,,
1988,Ontario,DUFFERIN--CALEDON,Garry Moore Liberal,manager,14777,29.97,,
1988,Ontario,DUFFERIN--CALEDON,Chris Marquis New Democratic Party,university Student,5983,12.13,,
1988,Ontario,DUFFERIN--CALEDON,Ted Alexander Green Party of Canada,computer consultant,4912,9.96,,
1988,Ontario,DURHAM,Bev Oda Conservative Party of Canada,broadcast consultant,27087,47.02,,
1988,Ontario,DURHAM,Doug Moffatt Liberal,retired,17290,30.01,,
1988,Ontario,DURHAM,Bruce Rogers New Democratic Party,retired broadcaster,9946,17.26,,
1988,Ontario,DURHAM,Virginia Ervin Green Party of Canada,customer care advisor,2676,4.64,,
1988,Ontario,DURHAM,Henry Zekveld Christian Heritage Party of Canada,farmer,612,1.06,,
1988,Ontario,EGLINTON--LAWRENCE,Joe Volpe Liberal,parliamentarian,26044,52.89,,
1988,Ontario,EGLINTON--LAWRENCE,Peter Coy Conservative Party of Canada,business analyst,14897,30.25,,
1988,Ontario,EGLINTON--LAWRENCE,Maurganne Mooney New Democratic Party,court corker,5660,11.49,,
1988,Ontario,EGLINTON--LAWRENCE,Patrick Metzger Green Party of Canada,writer/producer,2520,5.12,,
1988,Ontario,EGLINTON--LAWRENCE,John Brian Steele No affiliation to a recognised party,retired meat Packer,123,0.25,,
1988,Ontario,ELGIN--MIDDLESEX--LONDON,Joe Preston Conservative Party of Canada,parliamentarian,23416,45.62,,
1988,Ontario,ELGIN--MIDDLESEX--LONDON,Crispin Colvin Liberal,farmer,13517,26.34,,
1988,Ontario,ELGIN--MIDDLESEX--LONDON,Tim McCallum New Democratic Party,control room operator,9873,19.24,,
1988,Ontario,ELGIN--MIDDLESEX--LONDON,Jonathan Martyn Green Party of Canada,community development,2873,5.6,,
1988,Ontario,ELGIN--MIDDLESEX--LONDON,Ken DeVries Christian Heritage Party of Canada,business owner,1039,2.02,,
1988,Ontario,ELGIN--MIDDLESEX--LONDON,Phill Borm Progressive Canadian Party,president/CEO,504,0.98,,
1988,Ontario,ELGIN--MIDDLESEX--LONDON,Will Arlow Canadian Action Party,businessman,105,0.2,,
1988,Ontario,ESSEX,Jeff Watson Conservative Party of Canada,parliamentarian,23125,40.4,,
1988,Ontario,ESSEX,Susan Whelan Liberal,lawyer,19510,34.08,,
1988,Ontario,ESSEX,Taras Natyshak New Democratic Party,management,12993,22.7,,
1988,Ontario,ESSEX,James McVeity Green Party of Canada,manager,1507,2.63,,
1988,Ontario,ESSEX,Bob Cruise Marxist-Leninist Party,retired industrial worker,108,0.19,,
1988,Ontario,ETOBICOKE CENTRE,Borys Wrzesnewskyj Liberal,parliamentarian,29509,52.44,,
1988,Ontario,ETOBICOKE CENTRE,Axel Kuhn Conservative Party of Canada,business owner,18702,33.24,,
1988,Ontario,ETOBICOKE CENTRE,Cynthia Cameron New Democratic Party,writer,5426,9.64,,
1988,Ontario,ETOBICOKE CENTRE,John Vanderheyden Green Party of Canada,management consultant,2111,3.75,,
1988,Ontario,ETOBICOKE CENTRE,Norman Dundas Progressive Canadian Party,retired,402,0.71,,
1988,Ontario,ETOBICOKE CENTRE,France Tremblay Marxist-Leninist Party,office worker,117,0.21,,
1988,Ontario,ETOBICOKE NORTH,Roy Cullen Liberal,parliamentarian,22195,61.62,,
1988,Ontario,ETOBICOKE NORTH,Amanjit Singh Khroad Conservative Party of Canada,real estate agent,8049,22.35,,
1988,Ontario,ETOBICOKE NORTH,Ali Naqvi New Democratic Party,legal consultant,3820,10.61,,
1988,Ontario,ETOBICOKE NORTH,George Jan Havlovic Green Party of Canada,dental service technician,950,2.64,,
1988,Ontario,ETOBICOKE NORTH,Alexander T. Bussmann Progressive Canadian Party,software developer,526,1.46,,
1988,Ontario,ETOBICOKE NORTH,George Szebik Independent,self-employed Businessman/chartered accountant,273,0.76,,
1988,Ontario,ETOBICOKE NORTH,Anna Di Carlo Marxist-Leninist Party,journalist,205,0.57,,
1988,Ontario,ETOBICOKE--LAKESHORE,Michael Ignatieff Liberal,university professor,24337,43.63,,
1988,Ontario,ETOBICOKE--LAKESHORE,John Capobianco Conservative Party of Canada,consultant,19613,35.16,,
1988,Ontario,ETOBICOKE--LAKESHORE,Liam McHugh-Russell New Democratic Party,student,8685,15.57,,
1988,Ontario,ETOBICOKE--LAKESHORE,Philip Ridge Green Party of Canada,energy advisor,2853,5.11,,
1988,Ontario,ETOBICOKE--LAKESHORE,Cathy Holliday Communist Party of Canada,nurse,186,0.33,,
1988,Ontario,ETOBICOKE--LAKESHORE,Janice Murray Marxist-Leninist Party,bindery machine operator,104,0.19,,
1988,Ontario,GLENGARRY--PRESCOTT--RUSSELL,Pierre Lemieux Conservative Party of Canada,company director,22990,41.56,,
1988,Ontario,GLENGARRY--PRESCOTT--RUSSELL,René Berthiaume Liberal,funeral home director,22787,41.19,,
1988,Ontario,GLENGARRY--PRESCOTT--RUSSELL,Jo-Ann Fennessey New Democratic Party,human rights consultant,7049,12.74,,
1988,Ontario,GLENGARRY--PRESCOTT--RUSSELL,Bonnie Jean-Louis Green Party of Canada,photographer,2494,4.51,,
1988,Ontario,GUELPH,Brenda Chamberlain Liberal,parliamentarian,23662,38.39,,
1988,Ontario,GUELPH,Brent Barr Conservative Party of Canada,consultant/business owner,18342,29.76,,
1988,Ontario,GUELPH,Phil Allt New Democratic Party,teacher,13561,22,,
1988,Ontario,GUELPH,Mike Nagy Green Party of Canada,business manager,5376,8.72,,
1988,Ontario,GUELPH,Peter Ellis Christian Heritage Party of Canada,real estate broker,538,0.87,,
1988,Ontario,GUELPH,Scott Gilbert Communist Party of Canada,student,111,0.18,,
1988,Ontario,GUELPH,Manuel Couto Marxist-Leninist Party,small businessman,45,0.07,,
1988,Ontario,HALDIMAND--NORFOLK,Diane Finley Conservative Party of Canada,parliamentarian,25885,48.33,,
1988,Ontario,HALDIMAND--NORFOLK,Bob Speller Liberal,retired manager,18363,34.29,,
1988,Ontario,HALDIMAND--NORFOLK,Valya Roberts New Democratic Party,"executive director, social service agency",6858,12.8,,
1988,Ontario,HALDIMAND--NORFOLK,Carolyn Van Nort Green Party of Canada,medical radiation technologist,1894,3.54,,
1988,Ontario,HALDIMAND--NORFOLK,Steven Elgersma Christian Heritage Party of Canada,retired,559,1.04,,
1988,Ontario,HALIBURTON--KAWARTHA LAKES--BROCK,Barry Devolin Conservative Party of Canada,parliamentarian,29427,49,,
1988,Ontario,HALIBURTON--KAWARTHA LAKES--BROCK,Greg Walling Liberal,businessman,17266,28.75,,
1988,Ontario,HALIBURTON--KAWARTHA LAKES--BROCK,Anne MacDermid New Democratic Party,researcher,10340,17.22,,
1988,Ontario,HALIBURTON--KAWARTHA LAKES--BROCK,Andy Harjula Green Party of Canada,retired,3017,5.02,,
1988,Ontario,HALTON,Garth Turner Conservative Party of Canada,businessman/ceo,30577,44.18,,
1988,Ontario,HALTON,Gary Carr Liberal,parliamentarian,28680,41.44,,
1988,Ontario,HALTON,Anwar Naqvi New Democratic Party,retired lawyer,6114,8.83,,
1988,Ontario,HALTON,Kyle Grice Green Party of Canada,chiropractor,3843,5.55,,
1988,Ontario,HAMILTON CENTRE,David Christopherson New Democratic Party,politician,24503,51.29,,
1988,Ontario,HAMILTON CENTRE,Javid Mirza Liberal,businessman,11224,23.49,,
1988,Ontario,HAMILTON CENTRE,Eliot Lewis Hill Conservative Party of Canada,police officer,9696,20.29,,
1988,Ontario,HAMILTON CENTRE,John Livingstone Green Party of Canada,manager,2022,4.23,,
1988,Ontario,HAMILTON CENTRE,Tony Des Lauriers Canadian Action Party,salesman,332,0.69,,
1988,Ontario,HAMILTON EAST--STONEY CREEK,Wayne Marston New Democratic Party,building manager,19346,36.03,,
1988,Ontario,HAMILTON EAST--STONEY CREEK,Tony Valeri Liberal,parliamentarian,18880,35.16,,
1988,Ontario,HAMILTON EAST--STONEY CREEK,Frank Rukavina Conservative Party of Canada,project co-ordinator,13581,25.29,,
1988,Ontario,HAMILTON EAST--STONEY CREEK,Jo Pavlov Green Party of Canada,computer technician,1573,2.93,,
